dicNo,name,engName,thumbnail
1001,가격표,price tag,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1001.jpg
1002,가구류,upholstery,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1002.jpg
1003,가발,wig,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1003.jpg
1004,가습기,humidifier,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1004.jpg
1005,가위,Scissors,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1005.jpg
1006,개수대,sink,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1006.jpg
1007,거울,mirror,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1007.jpg
1008,걸레,Mop,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1008.jpg
1009,계란껍질,eggshell,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1009.jpg
1010,고무장갑,Rubber glove,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1010.jpg
1011,골판지,cardboard,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1011.jpg
1012,골프 클럽 백,golf club bag,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1012.jpg
1013,골프공,golf ball,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1013.jpg
1014,공구류(철),Tools (iron),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1014.jpg
1015,공기청정기,air cleaner,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1015.jpg
1016,광고전단지,advertisement flyer,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1016.jpg
1017,"구두, 샌들, 슬리퍼","shoes, sandals, slippers",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1017.jpg
1018,국자,ladle,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1018.jpg
1019,그릇,Bowl,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1019.jpg
1020,기름(기계),oil (machine),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1020.jpg
1021,기름(식용),oil (edible),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1021.jpg
1022,기타(악기),Guitar (instrument),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1022.jpg
1023,깨진유리,broken glass,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1023.jpg
1024,나무젓가락,wooden chopsticks,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1024.jpg
1025,"나무조각, 나뭇가지, 나무줄기","wood chips, twigs, tree trunks",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1025.jpg
1026,나사(못),screw,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1026.jpg
1027,나침반,Compass,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1027.jpg
1028,낙엽,fallen leaves,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1028.jpg
1029,낚싯대,fishing rod,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1029.jpg
1030,난로(전기난로),hearth (electric stove),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1030.jpg
1031,낫,sickle,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1031.jpg
1032,내열식기류,heat-resistant food,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1032.jpg
1033,냄비뚜껑(강화유리),Pot lid (tempered glass),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1033.jpg
1034,냉장고(냉동고),Refrigerator (freezer),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1034.jpg
1035,노트북,laptop,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1035.jpg
1036,농약용기,pesticide container,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1036.jpg
1037,다리미,iron,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1037.jpg
1038,도끼,ax,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1038.jpg
1039,도마,cutting board,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1039.jpg
1040,도자기류,pottery,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1040.jpg
1041,돋보기,reading glasses,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1041.jpg
1042,디지털카메라,digital camera,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1042.jpg
1043,뚝배기,ttukbaegi,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1043.jpg
1044,라디오,radio,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1044.jpg
1045,라이터(일회용),Lighter (disposable),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1045.jpg
1046,"라켓(배드민턴, 테니스 등)","Racket (badminton, tennis, etc.)",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1046.jpg
1047,랩(사용 후),Wrap (after use),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1047.jpg
1048,랩의 심,heart of rap,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1048.jpg
1049,런닝머신,Running Machine,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1049.jpg
1050,리코더(플라스틱),recorder (plastic),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1050.jpg
1051,마스크,mask,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1051.jpg
1052,마우스패드,mouse pad,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1052.jpg
1053,"마커펜, 만년필","marker pens, fountain pens",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1053.jpg
1054,"매트, 매트리스","mat, mattress",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1054.jpg
1055,"맥주병뚜껑(철, 알루미늄)","Beer bottle caps (iron, aluminum)",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1055.jpg
1056,머그컵(도자기류),Mug (porcelain),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1056.jpg
1057,머플러(목도리),scarf (shawl),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1057.jpg
1058,메가폰(플라스틱),Megaphone (Plastic),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1058.jpg
1059,면도기(일회용),Razor (disposable),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1059.jpg
1060,면도칼,razor,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1060.jpg
1061,면봉,cotton swab,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1061.jpg
1062,명함,Business card,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1062.jpg
1063,명함지갑,business card holder,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1063.jpg
1064,모니터(컴퓨터 TV),Monitor (Computer TV),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1064.jpg
1065,모자(의류),hat (clothing),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1065.jpg
1066,목발,crutches,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1066.jpg
1067,목재,wood,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1067.jpg
1068,"문갑, 문짝","doorknob, doorknob",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1068.jpg
1069,물티슈,wet tissue,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1069.jpg
1070,밀짚모자,straw hat,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1070.jpg
1071,바나나껍질,banana peel,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1071.jpg
1072,바둑판,checkerboard,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1072.jpg
1073,바베큐그릴,BBQ Grill,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1073.jpg
1074,밥상,dining table,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1074.jpg
1075,방석,A cushion,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1075.jpg
1076,"백과사전, 사전",Encyclopedia,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1076.jpg
1077,백열전구,incandescent light bulb,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1077.jpg
1078,벼루,ink stone,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1078.jpg
1079,벽돌,brick,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1079.jpg
1080,벽시계,Wall clock,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1080.jpg
1081,보온병,Thermos,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1081.jpg
1082,복사기,copy machine,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1082.jpg
1083,볼펜,pen,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1083.jpg
1084,볼풀공,ball pool,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1084.jpg
1085,분무기(플라스틱),atomizer (plastic),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1085.jpg
1086,분유 깡통,milk powder can,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1086.jpg
1087,붓,brush,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1087.jpg
1088,블라인드,blind,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1088.jpg
1089,비닐봉지(일회용),plastic bag (disposable),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1089.jpg
1090,비닐장판,vinyl sheet,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1090.jpg
1091,비닐코팅종이,vinyl coated paper,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1091.jpg
1092,비디오카메라(캠코더),video camera,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1092.jpg
1093,비디오테이프,video tape,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1093.jpg
1094,"빗, 헤어브러시","comb, hair brush",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1094.jpg
1095,빨대,straw,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1095.jpg
1096,사다리,ladder,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1096.jpg
1097,사인펜,sign pen,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1097.jpg
1098,사진,picture,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1098.jpg
1099,사진인화지,photo paper,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1099.jpg
1100,삽,shovel,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1100.jpg
1101,상한 음식,Rotten food,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1101.jpg
1102,생선(먹고 남은),fish (leftovers),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1102.jpg
1103,샤프펜슬,mechanical pencil,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1103.jpg
1104,샴푸용기,shampoo container,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1104.jpg
1105,서랍장,chiffonier,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1105.jpg
1106,서류봉투(갈색 종이),Briefcase (brown paper),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1106.jpg
1107,선풍기,fan,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1107.jpg
1108,성냥,matches,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1108.jpg
1109,세면대,washstand,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1109.jpg
1110,세탁기,washing machine,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1110.jpg
1111,"셔틀콕(배드민턴공, 깃털공)","Shuttlecock (Badminton Ball, Feather Ball)",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1111.jpg
1112,소스용기,mayonnaise jar,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1112.jpg
1113,손목 시계,watch,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1113.jpg
1114,솜,cotton,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1114.jpg
1115,솜이불,cotton quilt,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1115.jpg
1116,송곳,awl,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1116.jpg
1117,수세미,Scrubbers,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1117.jpg
1118,"수조, 수족관","fish tank, aquarium",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1118.jpg
1119,수첩,note,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1119.jpg
1120,숯,charcoal,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1120.jpg
1121,스노우보드,snowboard,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1121.jpg
1122,스캐너,scanner,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1122.jpg
1123,스케이트보드,skateboard,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1123.jpg
1124,스키용구류,ski equipment,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1124.jpg
1125,스탠드,stand,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1125.jpg
1126,스폰지,sponge,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1126.jpg
1127,"스프레이, 부탄가스","spray, butane gas",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1127.jpg
1128,스피커,speaker,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1128.jpg
1129,식기세척기(식기건조기),Dishwasher (dish dryer),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1129.jpg
1130,"식물, 나무","plant, tree",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1130.jpg
1131,식용유용기(플라스틱),Cooking oil container (plastic),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1131.jpg
1132,신문지,newspaper,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1132.jpg
1133,신발,shoes,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1133.jpg
1134,신발장,shoe closet,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1134.jpg
1135,싱크대,sink,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1135.jpg
1136,쌀통,rice barrel,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1136.jpg
1137,쌀포대,rice sack,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1137.jpg
1138,쓰레받기,dustpan,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1138.jpg
1139,"아기욕조, 아기침대","Baby bath, baby cot",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1139.jpg
1140,아령,dumbbell,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1140.jpg
1141,아이스팩,ice pack,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1141.jpg
1142,악기,instrument,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1142.jpg
1143,압력솓,pressure,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1143.jpg
1144,애완동물 용변 시트,pet toilet seat,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1144.jpg
1145,애완동물 음식캔,pet food cans,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1145.jpg
1146,"애완동물집, 운반케이스","Pet House, Carrying Case",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1146.jpg
1147,액자,Photo Frame,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1147.jpg
1148,앨범,album,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1148.jpg
1149,야구공,baseball,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1149.jpg
1150,야구글러브,baseball glove,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1150.jpg
1151,야구배트,baseball bat,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1151.jpg
1152,약 종류,drug type,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1152.jpg
1153,양초,candle,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1153.jpg
1154,에어매트,air mat,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1154.jpg
1155,에어컨,air conditioner,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1155.jpg
1156,엔진오일,engine oil,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1156.jpg
1157,여행가방(트렁크),suitcase (trunk),https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1157.jpg
1158,역기,weightlifting,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1158.jpg
1159,"연필, 색연필","pencil, colored pencil",https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1159.jpg
1160,연필깎이,pencil sharpener,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1160.jpg
1161,오디오세트,audio set,https://res.cloudinary.com/hos3yyb97/image/upload/f_webp/v1647911958/dictionary/1161.jpg
